time_stamp,gyroX,gyroY,gyroZ,accelX,accelY,accelZ
27549.0,0.06,-0.05,0.0,-0.07,-1.01,-9.8
27751.0,0.06,-0.05,0.0,-0.02,-0.99,-9.81
27952.0,0.06,-0.05,0.0,-0.05,-0.98,-9.81
28154.0,0.06,-0.05,0.0,-0.05,-1.0,-9.81
28355.0,0.06,-0.05,0.0,-0.04,-0.99,-9.8
28557.0,0.06,-0.05,0.0,-0.05,-0.99,-9.81
28759.0,0.07,-0.05,0.0,-0.05,-0.99,-9.8
28960.0,0.05,-0.05,0.0,-0.03,-0.94,-9.82
29162.0,0.07,-0.05,0.0,-0.06,-1.0,-9.83
29363.0,0.07,-0.05,0.0,-0.04,-0.99,-9.78
29565.0,0.06,-0.05,0.0,-0.04,-0.98,-9.83
29766.0,0.06,-0.05,0.0,-0.04,-0.98,-9.8
29968.0,0.06,-0.05,0.0,-0.05,-0.99,-9.8
30170.0,0.06,-0.05,0.0,-0.03,-1.01,-9.8
30371.0,0.06,-0.05,0.0,-0.04,-1.0,-9.8
30573.0,0.06,-0.05,0.0,-0.05,-1.01,-9.8
30775.0,0.07,-0.05,0.0,-0.04,-0.98,-9.83
30976.0,0.07,-0.05,0.0,-0.05,-0.99,-9.8
31178.0,0.06,-0.05,0.0,-0.05,-0.97,-9.8
31379.0,0.06,-0.05,0.0,-0.02,-1.0,-9.82
31581.0,0.06,-0.05,0.0,-0.05,-0.99,-9.8
