time,pos_x,pos_y,pos_z,roll,pitch,yaw
8.199,0.0010327733470010085,-0.0064105677688024365,-0.40189553198934175,4.270023658615438,-0.6707872183918637,0.0
8.401,0.008030170236709723,0.008583012023755308,-1.1984628084105082,8.452426784719487,-1.32904435352497,0.0
8.602,0.025374379295040196,0.07731525460764581,-2.397435064231705,12.554579445059597,-1.9673571247977693,0.11573747461642628
8.804,0.05632616078236524,0.22560642958221322,-3.9804076205811874,16.570153227727868,-2.5924116777297974,0.23090199143772205
9.005,0.10413325593649277,0.483065871101631,-5.9573778598501095,20.619847461322212,-3.206813377451244,0.23090199143772205
9.207,0.17323419688398023,0.872292560906015,-8.298865936445615,24.476441242059575,-3.806022695018531,0.23090199143772205
9.408,0.266992723264325,1.4212274748495777,-11.019649353773573,28.48257769819308,-4.5167509946271975,0.23090199143772205
9.61,0.38762766148097805,2.1570722251514094,-14.096790189693298,32.295251958947794,-5.087545876057894,0.23090199143772205
9.812,0.5372351428782611,3.0931874620002704,-17.498626028986536,35.9171600734773,-5.651560980079807,0.23090199143772205
10.013,0.7194811988021049,4.262696999971297,-21.245967841138363,39.35775386868283,-6.198883464998474,0.23090199143772205
10.215,0.933614689808967,5.669066777404917,-25.287936887786973,42.72555071853275,-6.741831832851076,0.23090199143772205
10.416,1.1801394455208305,7.348013830720045,-29.65216388303979,46.13412691244864,-7.273893725197767,0.23090199143772205
10.618,1.4608539624100232,9.295473483248927,-34.27520850558844,49.70728248684551,-7.912224379652759,0.23090199143772205
10.819,1.7768831702459302,11.553032566467504,-39.18676271869129,53.43569529015811,-8.538083830104327,0.34663946605414836
11.021,2.1254530982002566,14.111830464651712,-44.318531242438425,56.52311921405774,-9.02940907540309,0.34663946605414836
11.222,2.5085952184322156,17.009763410030775,-49.70809583317464,59.43466703810564,-9.519607094543403,0.34663946605414836
11.424,2.9225183361724234,20.247682240541426,-55.30844131429929,62.5124791298412,-9.988497209124214,0.23090199143772208
11.626,3.366338585941755,23.81796052538364,-61.07472075160695,65.53242387504008,-10.67844972527014,0.34606650825901786
11.827,3.8550528449402175,27.741598258158916,-67.06905361438771,61.52796121832564,-11.353545122922753,0.34606650825901786
12.028,4.39441717654832,32.00533959450561,-73.30880980585039,58.17430227662267,-12.88428342100846,0.34606650825901786
12.23,4.972070392703008,36.5712950486911,-79.75340523622951,59.77446645753612,-13.427161367883523,-0.22975607584745592
12.431,5.5961804680280345,41.509645160612536,-86.45562574527526,63.954319665676785,-13.299787462779378,-0.8084434489295873
12.633,6.274013420094187,46.80159979374158,-93.33877156350192,68.7646628072363,-14.638052299678273,-1.3871308220117238
12.835,7.000247554355806,52.45001459547173,-100.40412857872745,71.4066757746614,-15.769893488865165,-1.6186057712445763
13.037,7.772102531583462,58.43704955014453,-107.57786188365303,75.35844317961902,-16.951584220794427,-2.309592872172345
13.238,8.589991111237174,64.83942419584386,-114.91443014009641,79.57737497965302,-16.66119470405666,-2.1938553975559185
13.44,9.445806049549702,71.58383476866514,-122.31560571894275,83.37836707170327,-17.74851418746265,-2.1938553975559185
13.641,10.36922051118074,78.71033551654287,-129.89383676727837,79.15042921537366,-16.727254115339807,-2.4253303467887712
13.843,11.336248727293777,86.19690917246143,-137.59298680006643,81.81807030998543,-18.991115928501845,-1.9623804483230662
14.045,12.314227772950494,93.99823868070378,-145.37117412582623,83.34890853361873,-20.303209680757895,-0.6955707632888127
14.246,13.29294716434666,102.20873663362309,-153.28674857846104,85.95687524999735,-19.637115109590074,-0.3483583394395339
14.448,14.26898731518442,110.81121647764475,-161.250992184855,90.58624557409193,-20.282248171044298,-1.6214705602202228
14.65,15.273070979215062,119.75722217871385,-169.25615487210766,93.55542018237685,-21.19171449266162,-3.464102829360955
14.851,16.31218851586779,129.14922548187505,-177.3661893343702,93.77218173833369,-18.642666213615993,-3.1168904055116764
15.053,17.385502498194885,138.85399597987666,-185.4596932105066,87.44502833804205,-15.602056486501601,-2.5410678214052025
15.254,18.501592118681742,149.000905100327,-193.63835728002283,91.22075536576267,-21.917711962293765,-3.0040177198709075
15.456,19.631456459293684,159.50969254774728,-201.81130872566828,92.29326182129216,-19.8125749757578,-2.313030618943133
15.657,20.794497646130274,170.4820244666858,-210.06313345631594,88.43531473660369,-18.24893724571392,-2.0815556697102804
15.859,22.00935639630142,181.85530794805214,-218.37203894646552,89.79220879272029,-23.741436965046077,-1.965818195093854
16.061,23.23720870985669,193.54957020018995,-226.73778982493448,88.35237469452464,-22.61119967217964,-1.2748310941660796
16.262,24.475432663232233,205.74680475771197,-235.22957010050192,92.5067816107149,-22.98439404819295,0.8084434489295748
16.464,25.73072890555196,218.26588711962393,-243.76281203897435,82.09668320031483,-19.46986928572004,1.2691015162147576
16.665,27.008461779502003,231.2327718666198,-252.42469152544612,83.02799534615616,-20.114655840681223,1.9635263639133214
16.867,28.32852729461799,244.60836203238264,-261.1931831331144,78.1397411200918,-20.36547315849481,1.384838990831195
17.069,29.714556887374385,258.3506646798496,-270.0887879107658,74.40015803165335,-21.667454303780552,1.1533640415983406
17.271,31.122440616628538,272.4142530723163,-279.0619127595895,77.82208766093697,-24.511050352573882,1.383693075240932
17.472,32.547073687763536,286.9292764931526,-288.17732436891424,79.39766158318098,-22.867064667404442,3.929917516802287
17.674,33.931664499493394,301.7301741214528,-297.35051797761776,79.77980601096137,-21.96580874351377,9.112320773760597
17.875,35.2598192112867,316.91509699266396,-306.613917937001,78.12946421355392,-21.703284688581647,16.25252081668093
18.076,36.49803323663441,332.5466266076417,-316.0591605084681,70.95172308108408,-17.56421215671943,22.502344445967896
18.278,37.631088395548836,348.444277911876,-325.59278093820456,69.33702485574022,-17.621814395491615,30.448696106637303
18.479,38.62539822028746,364.7653771023262,-335.37745834813967,64.38773116643422,-13.879960217685827,39.47621912671863
18.681,39.47521263066738,381.3787693386446,-345.3648280418405,58.59722420020418,-12.571795989731786,48.61947962141623
18.883,40.13507741720615,398.1588124718486,-355.5459858224295,54.310608919374026,-12.780051389182207,56.79616031572823
19.084,40.613063508954646,415.23825554313055,-366.04273700897966,49.8813733006894,-14.149741568399334,64.7820460642617
19.286,40.907814839852776,432.4466436693583,-376.778070321129,47.844803521469366,-13.95811126948228,70.30994287168382
19.487,41.019829494244036,449.93676566591114,-387.86628414982533,39.439342254789956,-12.068294775879878,76.44402902635446
